CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
sanxia|253892-0|B马电业局-HLHF-1|253892|B马电业局-HLHF|38400|155|||14419|华为|112.86|33.7509|宏站|55.0|30.0|6.0|3.0|9.0
sanxia|253892-1|B马电业局-HLHF-2|253892|B马电业局-HLHF|38400|153|||14419|华为|112.86|33.7509|宏站|240.0|23.0|6.0|5.0|11.0
sanxia|253892-2|B马电业局-HLHF-3|253892|B马电业局-HLHF|38400|154|||14419|华为|112.86|33.7509|宏站|345.0|23.0|6.0|1.0|7.0
sanxia|253892-3|B马电业局-HLHD-4|253892|B马电业局-HLHF|37900|276|||14419|华为|112.86|33.7509|宏站|55.0|30.0|6.0|3.0|9.0
sanxia|253892-4|B马电业局-HLHD-5|253892|B马电业局-HLHF|37900|277|||14419|华为|112.86|33.7509|宏站|240.0|23.0|6.0|5.0|11.0
sanxia|253892-5|B马电业局-HLHD-6|253892|B马电业局-HLHF|37900|278|||14419|华为|112.86|33.7509|宏站|345.0|23.0|6.0|1.0|7.0
sanxia|253893-0|B马东海大酒店-HLHF-1|253893|B马东海大酒店-HLHF|38400|241|||14419|华为|112.835|33.7543|宏站|95.0|23.0|6.0|2.0|8.0
sanxia|253893-1|B马东海大酒店-HLHF-2|253893|B马东海大酒店-HLHF|38400|240|||14419|华为|112.835|33.7543|宏站|180.0|23.0|6.0|2.0|8.0
sanxia|253893-2|B马东海大酒店-HLHF-3|253893|B马东海大酒店-HLHF|38400|242|||14419|华为|112.835|33.7543|宏站|330.0|23.0|6.0|6.0|12.0
sanxia|253894-0|B马东马岭-HLHF-1|253894|B马东马岭-HLHF|38400|168|||14419|华为|112.843|33.7483|宏站|340.0|18.0|6.0|2.0|8.0
sanxia|253894-1|B马东马岭-HLHF-2|253894|B马东马岭-HLHF|38400|169|||14419|华为|112.843|33.7483|宏站|130.0|18.0|6.0|2.0|8.0
